title,summary,n_enrolled,course_type,Level,subject,language,course_length,price,price_level
"Nutrition, Heart Disease and Diabetes","Discover the latest insights on the importance of nutrition and lifestyle in the development and treatment of cardiovascular diseases and diabetes mellitus in the online open course Nutrition, Heart disease and Diabetes.",24986,Self-paced on your time,Intermediate,Food & Nutrition,English,5,99,Medium
Project Management for Development,A MOOC developed in collaboration with the Project Management Institute Educational Foundation (PMIEF). Learn best practices for managing projects that promote economic and social development in Latin America and the Caribbean.,62099,Self-paced on your time,Intermediate,Business & Management,English,10,49,Low
Introduction to Cloud Infrastructure Technologies,"Learn the fundamentals of building and managing cloud technologies directly from The Linux Foundation, the leader in open source.",86923,Self-paced on your time,Introductory,Computer Science,English,14,169,High
"Circular Fashion: Design, Science and Value in a Sustainable Clothing Industry","The fundamentals of circular fashion unraveled, learn about circularity in all steps of the fashion value chain. From new textile materials and circular design all the way to business modelling.",13566,Self-paced on your time,Introductory,Art & Culture,English,5,65,Medium
Machine Learning,Master the essentials of machine learning and algorithms to help improve learning from data without human intervention.,150855,Instructor-led on a course schedule,Advanced,Computer Science,English,12,249,High
Introducción a la gestión de proyectos,Curso de introducción a la gestión de proyectos (project management) siguiendo la metodología del Project Management Institute (www.pmi.org).,98517,Self-paced on your time,Introductory,Business & Management,Español,5,50,Low
Free Cash Flow Analysis,Learn how to use the free cash flow method for firm valuation and how to compute and project free cash flows.,36085,Self-paced on your time,Introductory,Business & Management,English,5,225,High
Lean Production,"Learn how to apply key elements of Lean Production, from minimizing inventory and reducing setup times, to using 5S and Kaizen, in order to improve quality and productivity in your workplace.",55926,Self-paced on your time,Introductory,Business & Management,English,6,99,Medium
Introduction to Algebra,"Solve equations, draw graphs, and play with quadratics in this interactive course!",131197,Self-paced on your time,Introductory,Math,English,4,139,Medium
"LaTeX for Students, Engineers, and Scientists","Explore a new way of writing and typesetting articles, books, papers, etc. using a document preparation system called LaTeX.",11823,Self-paced on your time,Introductory,Engineering,English,7,139,Medium
Leading With Effective Communication (Inclusive Leadership Training),Develop communication skills that bring out the best in you — and in others.,107770,Self-paced on your time,Introductory,Communication,English,4,50,Low
Anatomy: Musculoskeletal and Integumentary Systems,"Learn about the integumentary system (skin, hair, nails, and glands), and how the bones, joints, and muscles of the musculoskeletal system function.",51969,Self-paced on your time,Introductory,Biology & Life Sciences,English,4,49,Low
"Inglés empresarial: ventas, gestión y liderazgo",Este curso en línea te permitirá aprender inglés y tener una inmersión del idioma en los negocios para sobresalir en tu carrera profesional.,10897,Instructor-led on a course schedule,Introductory,Business & Management,English,4,49,Low
Business Strategy from Wharton: Competitive Advantage,Learn how to develop and execute strategies to gain competitive advantage and improve your position in the marketplace.,26675,Self-paced on your time,Intermediate,Business & Management,English,6,199,High
Inteligencia emocional para el liderazgo efectivo y colaboración,"En este curso en línea aprenderás de que forma utilizar el liderazgo emocional efectivo como el factor clave para el éxito de un buen manejo de equipo, tanto en lo social como en lo profesional. Conviértete en un líder en control de sus emociones.",14726,Self-paced on your time,Introductory,Social Sciences,Español,4,49,Low
Introducción al desarrollo de aplicaciones web,,27757,Self-paced on your time,Introductory,Computer Science,Español,5,49,Low
"Six Sigma: Analyze, Improve, Control","Learn how to statistically analyze process data to determine the root cause and propose solutions for process problems, to implement quality management tools, such as 8D and the 5 Whys, and to understand the concept of Design for Six Sigma (DFSS).",56016,Self-paced on your time,Introductory,Business & Management,English,8,99,Medium
Introducción a la inteligencia emocional,"La inteligencia emocional es el factor clave para el exito personal, profesional y del equipo. En este curso en linea aprenderas como usarla para tu beneficio y construiras la base para el trabajo efectivo.",18830,Self-paced on your time,Introductory,Social Sciences,Español,4,49,Low
AP® Microeconomics,An overview of introductory microeconomics. Learn the key principles of economics and how to apply them to the real world - and the AP® exam!,53664,Self-paced on your time,Introductory,Economics & Finance,English,12,49,Low
Engineering Calculus and Differential Equations,"Learn fundamental concepts of single-variable calculus and ordinary differential equations, as well as their applications in engineering fields. Apply mathematical skills to model and solve engineering problems.",21535,Self-paced on your time,Introductory,Math,English,6,50,Low
Linear Algebra - Foundations to Frontiers,Learn the mathematics behind linear algebra and link it to matrix software development.,88570,Self-paced on your time,Intermediate,Computer Science,English,15,49,Low
Habilidades de negociación y comunicación efectiva,"Aprende a analizar la perspectiva “social” de una negociación y su impacto en acuerdos exitosos, así como los riesgos de ignorarla o desconocer su aplicabilidad.",19614,Self-paced on your time,Introductory,Business & Management,Español,4,149,Medium
Effective Communication for Today's Leader,Identify and develop the most important communication skills: assertiveness and empathy.,8862,Self-paced on your time,Intermediate,Business & Management,English,4,149,Medium
Electric Cars: Technology,Get an in-depth understanding of the technology behind electric cars.,40972,Self-paced on your time,Intermediate,Engineering,English,4,50,Low
Site Planning Online,"How to plan a site, its infrastructure and public spaces so that it is sustainable, supports human needs, compatible with its natural and man-made surroundings, adaptable and economically efficient. The course includes many examples of well planned sites.",12948,Self-paced on your time,Intermediate,Design,English,10,99,Medium
Macroeconometric Forecasting,Learn how to create and assess forecasting models to predict macroeconomic variables such as inflation and economic growth.,69358,Self-paced on your time,Intermediate,Economics & Finance,English,9,25,Low
Administración pública y fiscal: cómo se gestiona un gobierno,Aprenderás de manera sencilla y cercana como se mide la calidad de la administración pública y fiscal de tu pais y verás en que lugar se encuentra respecto al resto de América Latina y el Caribe.,49189,Self-paced on your time,Introductory,Economics & Finance,Español,10,25,Low
Fundamentals of Red Hat Enterprise Linux,,53788,Self-paced on your time,Introductory,Computer Science,English,9,99,Medium
Algorithms,Learn how to structure and use algorithms to solve real life problems.,61722,Self-paced on your time,Intermediate,Computer Science,English,6,149,Medium
Calculus Applied!,"Apply tools of single-variable calculus to create and analyze mathematical models used by real practitioners in social, life, and physical sciences.",54976,Self-paced on your time,Intermediate,Math,English,10,99,Medium
Precalculus,"This college-level, credit-eligible Precalculus course will teach you the skills required for success in future Calculus studies.",55576,Self-paced on your time,Intermediate,Math,English,15,49,Low
Fundamentos de anatomía y técnica quirúrgica básica,Aprende de una manera creativa y divertida cómo está constituido el cuerpo humano a través de casos clínicos seleccionados basados en hechos históricos reales. Además conocerás las bases anatómicas para la práctica de algunos procedimientos de emergencias que pueden llegar a salvar vidas.,12133,Instructor-led on a course schedule,Introductory,Medicine,Español,4,49,Low
Business Communications,Learn how to communicate effectively in a business setting: understand diverse audiences and build sound arguments.,60713,Self-paced on your time,Introductory,Business & Management,English,6,150,Medium
Italian Language and Culture: Intermediate (2019-2020),"Improve your Italian language skills and expand your vocabulary while you learn about Italian art, literature and contemporary society.",35058,Self-paced on your time,Intermediate,Language,Italiano,12,49,Low
International Women's Health and Human Rights,"This self-paced course provides an overview of women's health and human rights, beginning in infancy and childhood, then moving through adolescence, reproductive years and aging. We consider economic, social, political and human rights factors, and the challenges women face in maintaining health and managing their lives in the face of societal pressures and obstacles.",9796,Self-paced on your time,Introductory,Social Sciences,English,10,50,Low
Blockchain: Understanding Its Uses and Implications,"Understand exactly what a blockchain is, its impact and potential for change around the world, and analyze use cases in technology, business, and enterprise products and institutions.",66769,Self-paced on your time,Introductory,Business & Management,English,14,199,High
"A-level Mathematics for Year 12 - Course 1: Algebraic Methods, Graphs and Applied Mathematics Methods",,22366,Self-paced on your time,Intermediate,Math,English,7,49,Low
Blockchain Technology,This course is part of a Professional Certificate,55376,Self-paced on your time,Intermediate,Computer Science,English,6,99,Medium
Basics of Power BI,"This learning resource will give learners the knowledge and the confidence to use the Power BI tool over other methods of recording, visualising and presenting data such as PowerPoint presentations.",8314,Self-paced on your time,Introductory,Data Analysis & Statistics,English,2,49,Low
Preparing to Network in English,Learn the basics of networking while you grow your social network and professional connections. Practice speaking to improve your English language skills for increased success in job hunting.,34337,Self-paced on your time,Introductory,Language,English,6,149,Medium
Mandarin Chinese Essentials,"This course is your first crucial step to learning Mandarin Chinese. Learn essential skills for communicating in Chineseincluding tones, pinyin, grammar, characters, and basic structures all within the context of a business environment.",36665,Self-paced on your time,Introductory,Language,English,5,99,Medium
Human Rights: The Rights of Refugees,Take action for human rights. This course will teach you about the human rights of refugees and empower you to defend them.,84270,Self-paced on your time,Introductory,Humanities,English,3,49,Low
What do Architects and Urban Planners do?,Discover how spatial design professionals make a difference in society,11046,Self-paced on your time,Introductory,Architecture,English,3,49,Low
"U.S. Political Institutions: Congress, Presidency, Courts, and Bureaucracy",Examine the inner workings of the three branches of the U.S. Federal Government,22723,Self-paced on your time,Introductory,Social Sciences,English,4,49,Low
Negotiation Skills and Effective Communication,"It analyzes the “social” perspective of a negotiation and its impact on successful agreements, as well as the risks of ignoring it, or disregarding its applicability.",8146,Self-paced on your time,Intermediate,Business & Management,English,4,149,Medium
AP® English Literature & Composition – Part 1: Stories,Enhance your ability to read and write about great literature in preparation for the AP® English Literature & Composition exam.,15650,Self-paced on your time,Introductory,Humanities,English,7,49,Low
"Viruses & How to Beat Them: Cells, Immunity, Vaccines","Learn how our immune system fights viral disease and make better vaccination decisions with a clearer understanding of Cells, Viruses, and Immunity.",28710,Self-paced on your time,Introductory,Medicine,English,7,149,Medium
Alianzas: un vehículo para lograr el desarrollo sostenible,"MOOC desarrollado en colaboración con la Red de Soluciones de Desarrollo Sostenible de la ONU (SDSN), en el que se analiza la contribución de las alianzas al desarrollo sostenible, con metodologías y casos de éxito para implementarlas.",17554,Self-paced on your time,Introductory,Social Sciences,Español,10,25,Low
Designing and Creating Skirts,"Learn the construction and style adaptations of skirts from a design and creation perspective, completing the course with your own designed, and made to measure finished skirt sample.",13954,Self-paced on your time,Introductory,Design,English,5,99,Medium
Cómo Aprender Online,Aprende las estrategias esenciales para un aprendizaje en línea exitoso,7958,Self-paced on your time,Introductory,Education & Teacher Training,Español,2,49,Low
Computing in Python II: Control Structures,"Learn about control structures, one of the most powerful parts of programming. This course covers conditionals, loops, functions, and error handling, specifically in Python but with broader applicability to other languages as well.",31511,Self-paced on your time,Introductory,Computer Science,English,5,99,Medium
Facebook Ads: Cómo utilizar el poder de la publicidad en Facebook,"Aprende a crear campañas publicitarias exitosas. Accede a tutoriales paso a paso de Audience Insights, Pixel de Facebook, A/B Testing y más.",29614,Self-paced on your time,Introductory,Communication,Español,5,49,Low
Machine Learning Fundamentals,"Understand machine learning's role in data-driven modeling, prediction, and decision-making.",82008,Self-paced on your time,Advanced,Data Analysis & Statistics,English,10,350,High
Pre-University Calculus,Prepare for Introductory Calculus courses.,103224,Self-paced on your time,Introductory,Math,English,8,50,Low
Tsinghua Chinese: Start Talking with 1.3 Billion People,Beginners' Chinese course from China's top university.,58834,Self-paced on your time,Introductory,Language,English,6,49,Low
Deep Learning with Python and PyTorch,This course is the second part of a two-part course on how to develop Deep Learning models using Pytorch.,36195,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,6,99,Medium
Diseña presentaciones eficaces con Powerpoint,Aprende las bases para realizar una presentación eficaz con Powerpoint que llegue a tu público objetivo,36663,Self-paced on your time,Introductory,Computer Science,Español,3,50,Low
World of Wine: From Grape to Glass,"Learn about the principles and practices of how grapes are grown and wine is made. Whether you’re a wine novice or a seasoned oenophile, you’ll learn to confidently describe wine appearance, aroma, flavour and taste.",81839,Self-paced on your time,Introductory,Science,English,6,199,High
Sustainable Cities,"Learn how government, the private sector, and other actors can support sustainable urban development",16619,Self-paced on your time,Intermediate,Environmental Studies,English,9,49,Low
Introduction to Developmental Psychology,"Learn how we develop over our lifetime, including our ability to think, communicate, and form social attachments.",38060,Self-paced on your time,Introductory,Humanities,English,8,99,Medium
Creativity & Entrepreneurship,"Learn skills and listen to examples from world-renown entrepreneurs and innovators as they discuss the parallels between the creative and entrepreneurial journeys -- and why entrepreneurship, much like music or creativity, is something we all possess.",69413,Self-paced on your time,Introductory,Business & Management,English,4,49,Low
College Algebra and Problem Solving,Learn the basics of Algebra while preparing for future courses in Calculus through this credit-eligible college level math course.,103010,Self-paced on your time,Introductory,Math,English,15,49,Low
Academic writing for clarity and meaning,,16220,Self-paced on your time,Introductory,Education & Teacher Training,English,2,49,Low
Financial Development and Financial Inclusion,"Learn how to develop an efficient, inclusive and stable financial sector that is essential for a thriving economy.",13853,Self-paced on your time,Intermediate,Economics & Finance,English,7,25,Low
Global Public Health,"Understanding the value of health not just as a benefit or right of individuals, but as a global public need.",17273,Self-paced on your time,Intermediate,Health & Safety,English,10,49,Low
Embedded Systems - Shape The World: Microcontroller Input/Output,,69182,Self-paced on your time,Intermediate,Computer Science,English,8,49,Low
Introduction to Animal Behaviour,"Explore the amazing range and complexity of wild animal behaviour. Discover how animals learn, communicate, find food, avoid predators, and interact socially.",42135,Self-paced on your time,Introductory,Biology & Life Sciences,English,6,49,Low
Circular Economy: An Introduction,Learn how to contribute to a sustainable economic system by implementing novel business and design approaches,50240,Self-paced on your time,Introductory,Business & Management,English,7,50,Low
Public Financial Management,What is the government budget cycle? How should governments prepare policy-oriented budgets? How to hold governments accountable? Learn from an IMF team who advises on budget management and hear testimonies from ministers of finance and civil society.,23288,Self-paced on your time,Intermediate,Economics & Finance,English,8,25,Low
Anatomy: Human Neuroanatomy,Learn about the different parts of the central nervous system and how they work together with the entire body.,49319,Self-paced on your time,Introductory,Biology & Life Sciences,English,8,49,Low
Android: Introducción a la Programación,"Desarrollaremos una aplicación de ejemplo, ""Mis Lugares Favoritos,"" para conocer el entorno de desarrollo de Android y sus elementos.",85786,Self-paced on your time,Introductory,Computer Science,Español,10,50,Low
The Ancient Greek Hero,"Discover the literature and heroes of ancient Greece through the Homeric Iliad and Odyssey , the tragedies of Sophocles, the dialogues of Plato, and more.",51744,Instructor-led on a course schedule,Introductory,Humanities,English,18,99,Medium
Agile Leadership Principles and Practices,"Accelerate and improve team decisions by learning Agile’s facilitating leadership principles to unleash team productivity, motivation, and problem solving.",31838,Self-paced on your time,Advanced,Engineering,English,4,199,High
How to Code: Simple Data,This course is part of a MicroMasters® Program,98113,Self-paced on your time,Introductory,Computer Science,English,7,125,Medium
Cybersecurity and Privacy in the IoT,Learn about the security and privacy implications of the IoT and how to design a secure system.,21440,Self-paced on your time,Introductory,Computer Science,English,5,199,High
Strategic Management,This course is part of a MicroMasters® Program,71085,Self-paced on your time,Introductory,Business & Management,English,5,150,Medium
Introducción a la ciencia de datos y sus aplicaciones,El arte de descubrir las percepciones y tendencias en los datos ha existido durante siglos. ,7303,Self-paced on your time,Introductory,Data Analysis & Statistics,Español,6,39,Low
"Biochemistry: Biomolecules, Methods, and Mechanisms",Enhance your scientific thinking and data analysis skills with this in-depth adventure through biochemistry.,18692,Instructor-led on a course schedule,Intermediate,Biology & Life Sciences,English,12,150,Medium
Astronomía Virtual,"Se trata de un curso en línea para entusiastas de la Astronomía y las ciencias del espacio, que no requiere de ningún conocimiento académico previo.",10500,Self-paced on your time,Introductory,Science,Español,7,29,Low
Nutrition and Cancer,"Discover the latest insights on the role of diet, nutrition and lifestyle in the prevention, occurrence and progression of cancer.",27144,Self-paced on your time,Intermediate,Food & Nutrition,English,5,99,Medium
Build your very first iOS app,Learn how to get started with app development and create your very first iOS app.,31570,Instructor-led on a course schedule,Introductory,Computer Science,English,8,149,Medium
Object-Oriented Programming,Learn the principles of programming for building large and extensible systems.,93633,Self-paced on your time,Introductory,Computer Science,English,4,149,Medium
Introduction to Jenkins,Learn the fundamentals required to implement Continuous Integration (CI) and Continuous Delivery (CD) workflows using the Jenkins automation server.,7233,Self-paced on your time,Introductory,Computer Science,English,10,199,High
Conducting an Informational Interview,"This is the capstone networking course. Put all the skills that you have learned into practice. You’ll introduce yourself, write effective email, highlight your best qualities, and conduct an informational interview with a person of your choice.",15594,Self-paced on your time,Introductory,Language,English,8,99,Medium
Liderazgo y comportamiento organizacional,"Aprende a desarrollar tu potencial como líder, desarrolla habilidades de motivación, liderazgo y negociación.",21419,Self-paced on your time,Introductory,Business & Management,Español,4,149,Medium
Creative Coding,"Learn object-oriented programming for graphic design, digital media, and creative applications",18660,Instructor-led on a course schedule,Introductory,Design,English,14,249,High
Análisis estadístico con Excel,"Este curso en línea entrega al estudiante los conocimientos fundamentales de estadística para el análisis de datos, tanto a nivel personal como empresarial.",22717,Self-paced on your time,Introductory,Data Analysis & Statistics,Español,4,49,Low
Introducción a la Ingeniería del Software,,17931,Self-paced on your time,Introductory,Computer Science,Español,5,49,Low
Computer Graphics,This course is part of a Professional Certificate,98553,Self-paced on your time,Intermediate,Computer Science,English,6,99,Medium
Data Science: Computational Thinking with Python,"Learn the basics of computational thinking, an essential skill in today’s data-driven world, using the popular programming language, Python.",78232,Self-paced on your time,Introductory,Computer Science,English,5,199,High
Comunicación efectiva para el líder actual,Aprende a identificar y desarrollar las habilidades de comunicación más importantes: asertividad y empatía.,18470,Self-paced on your time,Introductory,Communication,Español,4,149,Medium
Debate y argumentación,"Este curso en línea te permitirá aprender sobre los elementos básicos para debatir de manera persuasiva en diferentes escenarios cotidianos, sociales, académicos, profesionales y políticos.",10954,Self-paced on your time,Introductory,Humanities,Español,4,49,Low
Deep Learning with Tensorflow,"Much of theworld's data is unstructured. Think images, sound, and textual data. Learn how to apply Deep Learning with TensorFlow to this type of data to solve real-world problems.",37564,Self-paced on your time,Intermediate,Data Analysis & Statistics,English,5,99,Medium
Machine Learning (aprendizaje automático) con Python: una introducción práctica,El Machine Learning puede ser una herramienta increíblemente beneficiosa para descubrir información y predecir tendencias futuras. Este curso de aprendizaje automático con Python te brindará todas las herramientas que necesitas para comenzar con el aprendizaje supervisado y autónomo.,39155,Self-paced on your time,Introductory,Computer Science,Español,5,49,Low
Essential Human Biology: Cells and Tissues,An introduction to the human body's most fundamental building blocks and their behaviours in health and disease.,67961,Self-paced on your time,Introductory,Medicine,English,5,169,High
"Writing, Presenting and Submitting Scientific Papers in English | 英文科技论文写作与学术报告","Learn how to properly write a scientific paper, based on international standards, and effectively make a presentation to submit proposals for funding. 表达与交流是拔尖创新科技人才最重要的综合能力。培养英文科技论文写作与学术报告的能力，帮助你打开世界科坛大门，与国际同行平等交流。",35720,Self-paced on your time,Intermediate,Communication,English,5,49,Low
Computing in Python III: Data Structures,"Learn more complex ways of handling data, including files, lists, and dictionaries for building complex programs.",27239,Self-paced on your time,Introductory,Computer Science,English,5,99,Medium
Introduction to Internet of Things (IoT),Introduction to IoT is an interactive introduction to build fundamental knowledge on the concepts and applications of the Internet of Things.,6703,Self-paced on your time,Introductory,Data Analysis & Statistics,English,2,49,Low
Nutrition and Health: Food Risks,"Learn about bacteria, pesticides and health hazards present in food.",51493,Self-paced on your time,Introductory,Biology & Life Sciences,English,8,49,Low
Mechanics: Kinematics and Dynamics,Learn about kinematics and dynamics in this calculus-based physics course.,35529,Self-paced on your time,Intermediate,Physics,English,12,49,Low
Storytelling for Social Change,,30313,Self-paced on your time,Introductory,Communication,English,5,49,Low
Introduction to Data Analytics for Managers,"Explore data science and analyze business data with Microsoft Azure through the use of SQL, machine learning, and other statistical techniques focused on business applications.",39113,Self-paced on your time,Introductory,Business & Management,English,6,49,Low
Qualitative Research Methods: Conversational Interviewing,"A short course that will teach you how to prepare for and conduct conversational interviews, that will produce rich qualitative data.",21972,Self-paced on your time,Intermediate,Humanities,English,3,49,Low
International Project Management,Learn what makes global projects uniquely challenging and how to successfully manage projects based in different industries and countries.,45145,Self-paced on your time,Advanced,Business & Management,English,9,150,Medium
Software Development Fundamentals,"Learn the fundamentals of object-oriented programming in Java, as well as best practices of modern software development.",51402,Self-paced on your time,Intermediate,Computer Science,English,4,149,Medium
"First Nights - Stravinsky’s Rite of Spring: Modernism, Ballet, and Riots","Learn the fascinating history of Igor Stravinsky’s The Rite of Spring , one of the most challenging and rewarding ballets ever written.",17484,Self-paced on your time,Introductory,Humanities,English,3,49,Low
Critical Thinking & Problem Solving,"The most successful professionals are able to assess the environment, analyze a situation, design a solution, and ultimately win in a competitive scenario.",6558,Self-paced on your time,Introductory,Communication,English,3,199,High
Data Analysis Essentials,"Discover and acquire the quantitative data analysis skills that you will typically need to succeed on an MBA program. This course will cover the fundamentals of collecting, presenting, describing and making inferences from sets of data.",42262,Self-paced on your time,Introductory,Business & Management,English,6,79,Medium
Master Control in Supply Chain Management and Logistics,,31326,Self-paced on your time,Introductory,Business & Management,English,7,49,Low
Work and Employment for a Sustainable Future,"We are living in a financially fragile world. There is economic growth, but not enough opportunities to find decent work. Globally, more than 200 million people are still unemployed, but there has been progress in standards of labour and work. This is not sustainable. Learn from experts from the International Labour Organization, Harvard University, and more about the state of work in our world, and what it will take to ensure steady, inclusive and sustainable economic development for all.",6528,Self-paced on your time,Intermediate,Economics & Finance,English,6,49,Low
Foundations of Data Structures,Learn the best way to structure and represent data.,54075,Self-paced on your time,Intermediate,Computer Science,English,6,149,Medium
"Financial Programming and Policies, Part 1: Macroeconomic Accounts & Analysis","A course on the macroeconomic accounts, their interrelationships, and the analysis of economic developments.",31024,Self-paced on your time,Intermediate,Economics & Finance,English,6,25,Low
IoT System Design: Software and Hardware Integration,Start developing your own Internet of Things (IoT) systemwith this exploration ofthe interaction between software and hardware.,13608,Self-paced on your time,Intermediate,Computer Science,English,4,99,Medium
English for Doing Business in Asia – Writing,Introducing strategies for developing your written English communication skills in the context of doing business in Asia.,44252,Self-paced on your time,Introductory,Humanities,English,7,60,Medium
Working in Teams: A Practical Guide,"Learn how to build effective teams, be a great team player and manage team conflict.",43981,Self-paced on your time,Introductory,Humanities,English,4,49,Low
Introducción a los encofrados y las cimbras en obra civil y edificación,Aprende sobre la construcción de obras civiles y de edificación con encofrados y cimbras.,16029,Self-paced on your time,Introductory,Engineering,Español,4,50,Low
AI Chatbots without Programming,"Chatbots are increasingly in demand among global businesses. This course will teach you how to build, analyze, deploy and monetize chatbots - with the help of IBM Watson and the power of AI.",35440,Self-paced on your time,Introductory,Computer Science,English,2,99,Medium
Introducción a la Ciencia de Datos y el Big Data,Obtén un panorama general de lo que es Data Science o Ciencia de Datos y cómo aplicarla en las organizaciones. Aprende a tomar decisiones basadas en los datos.,16268,Self-paced on your time,Intermediate,Data Analysis & Statistics,Español,4,49,Low
Just Money: Banking as if Society Mattered,Learn how banks can use capital as a tool to promote social and environmental wellbeing.,25553,Self-paced on your time,Introductory,Business & Management,English,16,49,Low
Introducción a R,"R es uno de los lenguajes más utilizados en el análisis de datos, ciencia de datos e inteligencia artificial. Conocerlo y dominarlo es un factor clave para lograr estrategias competitivas basadas en los datos. Este curso te brindará las bases de la programación en R con un enfoque práctico.",6431,Self-paced on your time,Introductory,Data Analysis & Statistics,Español,4,49,Low
Computing in Python IV: Objects & Algorithms,"Learn about recursion, search and sort algorithms, and object-oriented programming in Python.",28112,Self-paced on your time,Introductory,Computer Science,English,5,99,Medium
Adobe Illustrator: aprende a crear presentaciones de impacto,"Aprenderás a usar las herramientas perfectas para hacer presentaciones de impacto, con excelente diagramación y recursos que impactarán visualmente y en contenido a tus interlocutores entregando una presentación creativa.",18613,Self-paced on your time,Introductory,Design,Español,5,15,Low
Teaching Critical Thinking through Art with the National Gallery of Art,"Learn how to integrate works of art using Artful Thinking routines, effective strategies from Project Zero at Harvard University, in this interactive online course for teachers of all levels and subjects.",18595,Self-paced on your time,Introductory,Education & Teacher Training,English,16,25,Low
Word intermedio: herramientas de formato y productividad,"Este curso en línea te permitira aumentar tu rendimiento y productividad usando Microsoft Word, una de las la herramienta de procesamiento de texto mas usadas.",10265,Self-paced on your time,Intermediate,Computer Science,Español,6,50,Low
Introducción a las finanzas: Principios de valoración,Aprende de forma rápida y sencilla los principios básicos de valor del dinero en el tiempo y cómo usarlos para la toma de decisiones financieras y evaluación de proyectos de inversión.,17344,Self-paced on your time,Intermediate,Economics & Finance,Español,4,49,Low
Aprende a diseñar jardines verticales y cuadros vivos,"Estos son una excelente solución para llenar de vida espacios vacíos de un ambiente. Los jardines verticales son beneficiosos para la armonía del hogar y la salud, ya que, generan oxígeno y a su vez absorben dióxido de carbono.",6341,Self-paced on your time,Introductory,Biology & Life Sciences,Español,4,29,Low
"Anatomy: Cardiovascular, Urinary, and Respiratory Systems","Learn the multifaceted structures and functions of the cardiovascular, urinary, and respiratory systems.",36917,Self-paced on your time,Introductory,Biology & Life Sciences,English,4,49,Low
Software Engineering: Introduction,"Learn how to apply engineering principles, such as Agile, to build a full-stack software system.",35524,Self-paced on your time,Advanced,Computer Science,English,6,125,Medium
Structure of Materials,Discover the structure of the materials that make up our modern world and learn how this underlying structure influences the properties and performance of these materials.,13042,Self-paced on your time,Intermediate,Engineering,English,16,150,Medium
Fundamentos de fotografía documental,"El curso proporcionará herramientas teóricas y técnicas para emplear la fotografía como parte de una investigación en las ciencias sociales, artes y las humanidades. Además de desarrollarcapacidades interpretativas y creativas de la fotografía.",13036,Self-paced on your time,Introductory,Art & Culture,Español,6,49,Low
AP® Italian Language and Culture (2020-2021),Improve your language skills and expand your knowledge of contemporary Italian culture!,39398,Self-paced on your time,Advanced,Humanities,Italiano,12,49,Low
Computer Hardware and Operating Systems,This is a self-paced course from NYU that provides an Introduction to Computer Hardware and Operating Systems,9715,Self-paced on your time,Introductory,Computer Science,English,6,150,Medium
Marketing Management,"Learn key marketing strategies and tactics to help your company develop products that match customers' needs, create awareness and demand for those products, and drive sales.",43415,Instructor-led on a course schedule,Advanced,Business & Management,English,7,214,High
You Can Innovate: User  Innovation & Entrepreneurship,"Identify a problem, develop a solution, and bootstrap your entrepreneurial venture.",18974,Self-paced on your time,Introductory,Business & Management,English,10,49,Low
Analytics in Python,Learn the fundamental of programming in Python and develop the ability to analyze data and make data-driven decisions.,82210,Instructor-led on a course schedule,Intermediate,Business & Management,English,12,249,High
Bases Matemáticas: Álgebra,"En este curso se tratan los sistemas de ecuaciones, las matrices y cómo usarlas para resolverlos.",35811,Self-paced on your time,Introductory,Math,Español,4,50,Low
HTML5 Apps and Games,"Today, developers are increasingly moving from native to HTML5-based apps. Increase your ability to design and deliver innovative services on the Web!",86850,Self-paced on your time,Advanced,Computer Science,English,4,199,High
MATLAB and Octave for Beginners,"Learn MATLAB and Octave and start experimenting with matrix manipulations, data visualizations, functions and mathematical computations.",68706,Self-paced on your time,Introductory,Computer Science,English,4,139,Medium
AP Physics 1,,43401,Self-paced on your time,Introductory,Physics,English,18,49,Low
The Divine Comedy: Dante's Journey to Freedom,"Jorge Luis Borges, the great Argentine writer, said that no one should deny themselves the pleasure of reading Dante's Divine Comedy. In this course, you will discover precisely what Borges meant.",12005,Self-paced on your time,Introductory,Humanities,English,8,49,Low
Linux Basics: The Command Line Interface,Learn the Linux Command Line interface and become a skilled user of this powerful operating system.,32726,Self-paced on your time,Introductory,Computer Science,English,7,49,Low
Entrepreneurial Operations: Launching a Startup,Optimize your business for successby learning the fundamentals of entrepreneurial operations.,23808,Self-paced on your time,Intermediate,Business & Management,English,4,149,Medium
Maths Essentials,"Discover and acquire the fundamental maths skills that you will need to use while studying an MBA program, from algebra to differentiation and geometric series.",44642,Self-paced on your time,Introductory,Business & Management,English,6,79,Medium
"Marketing Analytics: Products, Distribution and Sales",This course is part of a MicroMasters® Program,50588,Self-paced on your time,Intermediate,Computer Science,English,4,249,High
Marketing Innovative Products and Services,Learn essential marketing concepts and practical commercialization strategies to bring your new venture to market,6293,Self-paced on your time,Introductory,Business & Management,English,4,149,Medium
Just Reading and Writing in English | 生活英语读写,Learn how to read and write in English in the context of lectures and academic texts. 以读促写，以写辅读！掌握正确的阅读技巧和写作技巧，让你实现一次英语读写的飞跃！,33303,Self-paced on your time,Introductory,Art & Culture,English,15,149,Medium
Introduction to Java Programming – Part 1,Learn the fundamental elements of Java programming and data abstraction.,270376,Self-paced on your time,Introductory,Computer Science,English,5,99,Medium
Comunicación y Redacción Digital,"En este curso aprenderás los conceptos básicos que cualquier texto escrito para Internet debe tener, para que pueda ser encontrado con mayor facilidad por los motores de búsqueda.",7165,Self-paced on your time,Introductory,Communication,Español,4,29,Low
