title,summary,n_enrolled,course_type,Level,subject,language,course_length,price,price_level
User Experience (UX) Design: Human Factors and Culture in Design | 设计的人因与文化,"Learn user experience and user interface design-key skills to succeed as a product manager, developer and designer. 本课程将依托于实际的设计案例和有趣的文化现象，引导学生从文化的视角运用人因学的知识和方法理解什么是以用户为中心的设计理念，掌握科学的设计和评估方法",23828,Self-paced on your time,Advanced,Engineering,English,7,139,Medium
The Conquest of Space: Space Exploration and Rocket Science,Explore the history of space travel and learn the basics of aerospace engineering.,19926,Self-paced on your time,Introductory,Engineering,English,7,129,Medium
Business Strategy and Operations in a Biobased Economy,Lead your company to make the switch to biobased resources and build a profitable sustainable business. Learn how to deal with the many strategic and operational challenges facing a companyin the biobased and circular economy.,0,Self-paced on your time,Advanced,Business & Management,English,5,149,Medium
What Works in Education: Evidence-Based Education Policies,"Learn what works in education and how to identify, analyze and implement evidence-based education policies that improve learning.",5540,Self-paced on your time,Introductory,Education & Teacher Training,English,10,25,Low
Electric Cars: Business,Get an in-depth understanding of varied profitable business models for electric cars.,14199,Self-paced on your time,Intermediate,Business & Management,English,4,50,Low
Thermodynamics of Materials,Thermodynamics of Materials describes the fundamental competition between energy and disorder that determines the state of materials at equilibrium.,0,Self-paced on your time,Intermediate,Engineering,English,16,150,Medium
Mechanics: Momentum and Energy,Learn about momentum and energy in this calculus-based physics course.,14846,Self-paced on your time,Intermediate,Physics,English,14,49,Low
Co-Creating Sustainable Cities,Learn how citizen’s co-creation is key in making cities worldwide more sustainable,12415,Self-paced on your time,Advanced,Social Sciences,English,8,49,Low
Cómo educar teniendo en cuenta la muerte,Pedagogía de la muerte para docentes y familias.,0,Self-paced on your time,Introductory,Education & Teacher Training,Español,3,49,Low
Introduction to Animal Ethics,"Learn about what ethical issues arise in human-animal relationships, and how to think about such issues systematically. The course utilizes Manga as a study aid.",6608,Self-paced on your time,Introductory,Philosophy & Ethics,English,5,49,Low
Teamwork & Collaboration,"Learn essential teamwork and collaboration skills to lead, build and motivate teams in the workplace.",0,Self-paced on your time,Introductory,Communication,English,3,199,High
Grant Writing and Crowdfunding for Public Libraries,"Learn how to increase your impact, innovate, and overcome often static funding through various fundraising and grant writing approaches.",12853,Self-paced on your time,Introductory,Humanities,English,4,49,Low
Leading Ambitious Teaching and Learning,This course is part of a MicroMasters® Program,24273,Self-paced on your time,Advanced,Education & Teacher Training,English,6,199,High
Financing Innovative Ventures,Demystify key financial concepts for creating a financial plan for your new venture to raise the right funding from the right partners at the right time,0,Self-paced on your time,Introductory,Business & Management,English,4,149,Medium
"A-level Mathematics for Year 13 - Course 2: General Motion, Moments and Equilibrium, The Normal Distribution, Vectors, Differentiation Methods, Integration Methods and Differential Equations","Develop your thinking skills, fluency and confidence to aim for an A* in A-level maths and prepare for undergraduate STEM degrees.",0,Self-paced on your time,Intermediate,Math,English,7,49,Low
Theories of Media and Technology,"Learn to apply media theory and practical, conceptual frameworks to design and digital media projects",0,Instructor-led on a course schedule,Introductory,Art & Culture,English,14,249,High
Introducción a la Estructura de la Materia,"Estudiaremos la estructura de la materia, los elementos que la forman y sus propiedades e introduciremos el concepto de la reacción química.",11859,Self-paced on your time,Introductory,Chemistry,Español,4,25,Low
